,Group,Sample,BT,dpi,BW,pred_y,CI_lower,CI_upper
35,바이러스+치료제,TH10,36.6,0,29.44,24.742299481589345,24.565050276955617,24.919548686223074
24,바이러스+치료제,TL10,36.6,0,28.0,24.742299481589345,24.565050276955617,24.919548686223074
79,바이러스+치료제,TL11,36.6,1,28.03,24.742299481589345,24.565050276955617,24.919548686223074
339,바이러스+치료제,TH7,36.6,5,24.19,24.742299481589345,24.565050276955617,24.919548686223074
421,바이러스+치료제,TL13,36.6,14,28.67,24.742299481589345,24.565050276955617,24.919548686223074
81,바이러스+치료제,TL13,36.6,1,27.54,24.742299481589345,24.565050276955617,24.919548686223074
168,바이러스+치료제,TH6,36.6,2,24.76,24.742299481589345,24.565050276955617,24.919548686223074
414,바이러스+치료제,TL11,36.6,13,28.22,24.742299481589345,24.565050276955617,24.919548686223074
398,바이러스+치료제,TL15,36.7,9,31.42,24.79354858054122,24.614680253221312,24.972416907861128
403,바이러스+치료제,TL15,36.7,10,31.02,24.79354858054122,24.614680253221312,24.972416907861128
86,바이러스+치료제,TL3,36.7,1,23.55,24.79354858054122,24.614680253221312,24.972416907861128
28,바이러스+치료제,TH3,36.7,0,24.5,24.79354858054122,24.614680253221312,24.972416907861128
27,바이러스+치료제,TH2,36.7,0,23.7,24.79354858054122,24.614680253221312,24.972416907861128
157,바이러스+치료제,TL6,36.7,2,25.1,24.79354858054122,24.614680253221312,24.972416907861128
17,바이러스+치료제,TL3,36.7,0,24.23,24.79354858054122,24.614680253221312,24.972416907861128
277,바이러스+치료제,TL11,36.7,4,22.18,24.79354858054122,24.614680253221312,24.972416907861128
30,바이러스+치료제,TH5,36.8,0,21.71,24.844797679493094,24.664193809609223,25.025401549376966
56,바이러스+치료제,TH9,36.8,0,25.71,24.844797679493094,24.664193809609223,25.025401549376966
87,바이러스+치료제,TL4,36.8,1,23.51,24.844797679493094,24.664193809609223,25.025401549376966
307,바이러스+치료제,TL2,36.8,5,27.1,24.844797679493094,24.664193809609223,25.025401549376966
158,바이러스+치료제,TL7,36.8,2,24.48,24.844797679493094,24.664193809609223,25.025401549376966
248,바이러스+치료제,TH9,36.8,3,25.26,24.844797679493094,24.664193809609223,25.025401549376966
142,바이러스+치료제,TL5,36.8,2,25.32,24.844797679493094,24.664193809609223,25.025401549376966
394,바이러스+치료제,TL11,36.8,9,27.8,24.844797679493094,24.664193809609223,25.025401549376966
144,바이러스+치료제,TL7,36.8,2,26.99,24.844797679493094,24.664193809609223,25.025401549376966
