,Group,Sample,BW,dpi,BT,pred_y,CI_lower,CI_upper
373,바이러스 접종군,V4,23.02,5,35.8,24.33230668997433,24.171350674377308,24.49326270557136
372,바이러스 접종군,V3,23.02,5,35.8,24.33230668997433,24.171350674377308,24.49326270557136
527,바이러스 접종군,V11,24.27,8,35.8,24.33230668997433,24.171350674377308,24.49326270557136
48,바이러스 접종군,V9,21.3,0,35.8,24.33230668997433,24.171350674377308,24.49326270557136
369,바이러스 접종군,V10,23.02,5,35.8,24.33230668997433,24.171350674377308,24.49326270557136
370,바이러스 접종군,V1,23.02,5,35.8,24.33230668997433,24.171350674377308,24.49326270557136
371,바이러스 접종군,V2,23.02,5,35.8,24.33230668997433,24.171350674377308,24.49326270557136
514,바이러스 접종군,V8,20.0,7,35.9,24.383555788926213,24.221750527036992,24.545361050815437
402,바이러스 접종군,V7,26.8,6,35.9,24.383555788926213,24.221750527036992,24.545361050815437
207,바이러스 접종군,V10,25.57,3,35.9,24.383555788926213,24.221750527036992,24.545361050815437
245,바이러스 접종군,V8,20.4,3,35.9,24.383555788926213,24.221750527036992,24.545361050815437
276,바이러스 접종군,V13,27.27,4,35.9,24.383555788926213,24.221750527036992,24.545361050815437
555,바이러스 접종군,V14,26.99,13,36.0,24.434804887878087,24.27204525769574,24.597564518060437
554,바이러스 접종군,V13,28.01,13,36.0,24.434804887878087,24.27204525769574,24.597564518060437
553,바이러스 접종군,V12,28.01,13,36.0,24.434804887878087,24.27204525769574,24.597564518060437
261,바이러스 접종군,V8,22.8,3,36.0,24.434804887878087,24.27204525769574,24.597564518060437
539,바이러스 접종군,V13,27.04,10,36.0,24.434804887878087,24.27204525769574,24.597564518060437
538,바이러스 접종군,V12,27.04,10,36.0,24.434804887878087,24.27204525769574,24.597564518060437
283,바이러스 접종군,V5,29.0,4,36.0,24.434804887878087,24.27204525769574,24.597564518060437
340,바이러스 접종군,V11,26.13,5,36.0,24.434804887878087,24.27204525769574,24.597564518060437
281,바이러스 접종군,V3,29.0,4,36.0,24.434804887878087,24.27204525769574,24.597564518060437
279,바이러스 접종군,V1,29.0,4,36.0,24.434804887878087,24.27204525769574,24.597564518060437
278,바이러스 접종군,V15,29.0,4,36.0,24.434804887878087,24.27204525769574,24.597564518060437
277,바이러스 접종군,V14,27.26,4,36.0,24.434804887878087,24.27204525769574,24.597564518060437
469,바이러스 접종군,V8,23.76,7,36.0,24.434804887878087,24.27204525769574,24.597564518060437
531,바이러스 접종군,V15,26.57,8,36.0,24.434804887878087,24.27204525769574,24.597564518060437
282,바이러스 접종군,V4,29.0,4,36.0,24.434804887878087,24.27204525769574,24.597564518060437
280,바이러스 접종군,V2,29.0,4,36.0,24.434804887878087,24.27204525769574,24.597564518060437
56,바이러스 접종군,V1,22.8,0,36.0,24.434804887878087,24.27204525769574,24.597564518060437
68,바이러스 접종군,V3,27.76,1,36.0,24.434804887878087,24.27204525769574,24.597564518060437
71,바이러스 접종군,V6,29.0,1,36.0,24.434804887878087,24.27204525769574,24.597564518060437
208,바이러스 접종군,V11,25.89,3,36.0,24.434804887878087,24.27204525769574,24.597564518060437
111,바이러스 접종군,V6,26.3,1,36.0,24.434804887878087,24.27204525769574,24.597564518060437
513,바이러스 접종군,V7,19.2,7,36.1,24.486053986829965,24.32223670360553,24.6498712700544
218,바이러스 접종군,V6,23.54,3,36.1,24.486053986829965,24.32223670360553,24.6498712700544
540,바이러스 접종군,V14,26.46,10,36.1,24.486053986829965,24.32223670360553,24.6498712700544
325,바이러스 접종군,V6,23.4,4,36.1,24.486053986829965,24.32223670360553,24.6498712700544
260,바이러스 접종군,V7,23.3,3,36.1,24.486053986829965,24.32223670360553,24.6498712700544
136,바이러스 접종군,V5,25.97,2,36.1,24.486053986829965,24.32223670360553,24.6498712700544
264,바이러스 접종군,V1,21.53,4,36.1,24.486053986829965,24.32223670360553,24.6498712700544
233,바이러스 접종군,V6,23.54,3,36.1,24.486053986829965,24.32223670360553,24.6498712700544
530,바이러스 접종군,V14,25.13,8,36.1,24.486053986829965,24.32223670360553,24.6498712700544
78,바이러스 접종군,V13,27.1,1,36.1,24.486053986829965,24.32223670360553,24.6498712700544
73,바이러스 접종군,V8,22.99,1,36.2,24.53730308578184,24.37232685121194,24.70227932035174
74,바이러스 접종군,V9,26.74,1,36.2,24.53730308578184,24.37232685121194,24.70227932035174
484,바이러스 접종군,V8,27.5,7,36.2,24.53730308578184,24.37232685121194,24.70227932035174
268,바이러스 접종군,V5,26.22,4,36.2,24.53730308578184,24.37232685121194,24.70227932035174
166,바이러스 접종군,V5,25.56,2,36.2,24.53730308578184,24.37232685121194,24.70227932035174
476,바이러스 접종군,V15,27.5,7,36.2,24.53730308578184,24.37232685121194,24.70227932035174
485,바이러스 접종군,V9,27.5,7,36.2,24.53730308578184,24.37232685121194,24.70227932035174
477,바이러스 접종군,V1,27.5,7,36.2,24.53730308578184,24.37232685121194,24.70227932035174
478,바이러스 접종군,V2,27.5,7,36.2,24.53730308578184,24.37232685121194,24.70227932035174
284,바이러스 접종군,V6,20.85,4,36.2,24.53730308578184,24.37232685121194,24.70227932035174
206,바이러스 접종군,V9,27.12,3,36.2,24.53730308578184,24.37232685121194,24.70227932035174
479,바이러스 접종군,V3,27.5,7,36.2,24.53730308578184,24.37232685121194,24.70227932035174
480,바이러스 접종군,V4,27.5,7,36.2,24.53730308578184,24.37232685121194,24.70227932035174
483,바이러스 접종군,V7,27.5,7,36.2,24.53730308578184,24.37232685121194,24.70227932035174
211,바이러스 접종군,V14,27.19,3,36.2,24.53730308578184,24.37232685121194,24.70227932035174
481,바이러스 접종군,V5,27.5,7,36.2,24.53730308578184,24.37232685121194,24.70227932035174
486,바이러스 접종군,V10,27.5,7,36.2,24.53730308578184,24.37232685121194,24.70227932035174
20,바이러스 접종군,V6,24.7,0,36.2,24.53730308578184,24.37232685121194,24.70227932035174
151,바이러스 접종군,V5,25.56,2,36.2,24.53730308578184,24.37232685121194,24.70227932035174
338,바이러스 접종군,V9,26.71,5,36.2,24.53730308578184,24.37232685121194,24.70227932035174
337,바이러스 접종군,V8,23.66,5,36.2,24.53730308578184,24.37232685121194,24.70227932035174
403,바이러스 접종군,V8,23.42,6,36.2,24.53730308578184,24.37232685121194,24.70227932035174
96,바이러스 접종군,V1,23.44,1,36.2,24.53730308578184,24.37232685121194,24.70227932035174
259,바이러스 접종군,V6,23.9,3,36.2,24.53730308578184,24.37232685121194,24.70227932035174
81,바이러스 접종군,V1,23.44,1,36.2,24.53730308578184,24.37232685121194,24.70227932035174
91,바이러스 접종군,V11,25.11,1,36.2,24.53730308578184,24.37232685121194,24.70227932035174
52,바이러스 접종군,V3,24.3,0,36.2,24.53730308578184,24.37232685121194,24.70227932035174
188,바이러스 접종군,V1,22.5,2,36.2,24.53730308578184,24.37232685121194,24.70227932035174
299,바이러스 접종군,V6,20.85,4,36.2,24.53730308578184,24.37232685121194,24.70227932035174
482,바이러스 접종군,V6,27.5,7,36.2,24.53730308578184,24.37232685121194,24.70227932035174
63,바이러스 접종군,V8,22.9,0,36.2,24.53730308578184,24.37232685121194,24.70227932035174
190,바이러스 접종군,V3,22.9,2,36.2,24.53730308578184,24.37232685121194,24.70227932035174
35,바이러스 접종군,V6,24.7,0,36.2,24.53730308578184,24.37232685121194,24.70227932035174
79,바이러스 접종군,V14,26.69,1,36.3,24.588552184733715,24.42231781919345,24.75478655027398
133,바이러스 접종군,V2,24.52,2,36.3,24.588552184733715,24.42231781919345,24.75478655027398
137,바이러스 접종군,V6,28.83,2,36.3,24.588552184733715,24.42231781919345,24.75478655027398
76,바이러스 접종군,V11,26.0,1,36.3,24.588552184733715,24.42231781919345,24.75478655027398
475,바이러스 접종군,V14,25.59,7,36.3,24.588552184733715,24.42231781919345,24.75478655027398
